Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/matt_proteomics/250711_MM_11262_8_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_2_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_7_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_6_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_4_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_5_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_3_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_1_uncalibrated.mzML
P59998	P59998		ARPC4		5.26766e+07	5.78301e+07	4.76083e+07	6.09118e+07	3.29817e+07	6.25795e+07	4.28835e+07	5.47637e+07
P60002	P60002		ELOF1		2.20604e+07	1.72533e+07	2.11788e+07	2.09302e+07	1.77241e+07	2.85026e+07	1.68016e+07	2.45319e+07
P60033	P60033		CD81		6.854e+07	4.52919e+07	6.03901e+07	4.73441e+07	5.49304e+07	6.7564e+07	5.18672e+07	6.33312e+07
P60059	P60059		SEC61G		3.38845e+07	3.71515e+07	3.53662e+07	4.95906e+07	5.20225e+07	6.69495e+07	4.14225e+07	7.17644e+07
P60174	P60174		TPI1		8.35299e+07	1.05089e+08	7.79989e+07	6.36986e+07	8.2657e+07	6.37809e+07	1.0983e+08	7.94276e+07
P60201	P60201		PLP1		8.12021e+06	9.35002e+06	8.10742e+06	9.60649e+06	9.57754e+06	8.55611e+06	1.03399e+07	1.15016e+07
P60228	P60228		EIF3E		1.58001e+07	3.23314e+07	2.7921e+07	4.23693e+07	1.73902e+07	2.31457e+07	2.33478e+07	2.05906e+07
P60468	P60468		SEC61B		1.80063e+08	2.20419e+08	1.80052e+08	2.12398e+08	2.16936e+08	3.23112e+08	2.08338e+08	2.70788e+08
P60484	P60484		PTEN		2.04456e+06	1.71286e+06	1.39257e+06	1.45953e+06	1.68305e+06	1.85109e+06	1.37927e+06	2.07751e+06
P60510	P60510		PPP4C		1.0674e+07	1.70794e+07	1.41623e+07	1.54168e+07	1.0272e+07	9.98016e+06	1.48976e+07	1.15432e+07
P60520	P60520		GABARAPL2		4.81304e+06	6.73788e+06	7.96198e+06	8.38492e+06	4.34416e+06	7.37309e+06	7.08535e+06	5.79801e+06
P60602	P60602		ROMO1		1.00819e+08	8.99841e+07	8.98175e+07	8.96702e+07	1.33874e+08	1.86947e+08	1.02932e+08	1.82133e+08
P60604	P60604		UBE2G2		1.18324e+07	8.27834e+06	9.91752e+06	1.03336e+07	1.31774e+07	1.84781e+07	8.29069e+06	1.32549e+07
P60660	P60660		MYL6		2.42325e+08	1.92539e+08	2.35111e+08	1.57556e+08	2.58992e+08	2.30377e+08	2.10042e+08	2.61906e+08
P60709	P60709		ACTB		3.77174e+09	2.82719e+09	3.39208e+09	2.54203e+09	2.70273e+09	3.97952e+09	3.3903e+09	4.08229e+09
P60763	P60763		RAC3		3.16072e+07	2.60285e+07	2.32486e+07	2.25865e+07	3.49467e+07	3.00293e+07	3.21758e+07	3.32866e+07
P60842	P60842		EIF4A1		1.19388e+08	2.61437e+08	2.05148e+08	2.82447e+08	1.44267e+08	2.41298e+08	1.92128e+08	2.32706e+08
P60866	P60866		RPS20		7.72337e+07	7.86694e+07	9.02547e+07	7.72638e+07	6.7606e+07	5.29225e+07	8.52443e+07	5.06342e+07
P60880	P60880		SNAP25		3.77178e+06	3.387e+06	5.07411e+06	4.59736e+06	3.66815e+06	5.05577e+06	5.89855e+06	5.56385e+06
P60891	P60891		PRPS1		1.50601e+07	1.71002e+07	1.78456e+07	1.45383e+07	1.86835e+07	1.47217e+07	2.02929e+07	1.61905e+07
P60900	P60900		PSMA6		1.55803e+07	2.45771e+07	1.97821e+07	2.01944e+07	1.59638e+07	1.50792e+07	2.13618e+07	1.41168e+07
P60903	P60903		S100A10		1.09937e+09	5.15724e+08	7.36338e+08	7.20103e+08	5.93885e+08	8.62627e+08	6.17213e+08	7.5814e+08
P60953	P60953		CDC42		3.05131e+08	2.20515e+08	2.90471e+08	2.7152e+08	2.54626e+08	4.16137e+08	2.66873e+08	3.80239e+08
P60981	P60981		DSTN		3.03795e+07	3.81439e+07	3.2618e+07	3.36896e+07	2.23601e+07	3.5071e+07	3.66328e+07	3.96365e+07
P60983	P60983		GMFB		1.31049e+07	1.11706e+07	1.41755e+07	1.41037e+07	1.18136e+07	1.4762e+07	1.39199e+07	1.38087e+07
P60985	P60985		KRTDAP			4.27316e+06						
P61006	P61006		RAB8A		3.7463e+07	3.00273e+07	3.44246e+07	3.47296e+07	3.51261e+07	6.30723e+07	3.49366e+07	6.00478e+07
P61009	P61009		SPCS3		6.51379e+07	6.40117e+07	7.35489e+07	8.25802e+07	6.06452e+07	1.2655e+08	6.59526e+07	1.04606e+08
P61011	P61011		SRP54		1.6827e+07	3.28151e+07	2.94571e+07	4.85727e+07	1.76967e+07	2.27473e+07	2.5618e+07	1.9378e+07
P61018	P61018		RAB4B		6.50872e+06	7.44977e+06	6.72448e+06	6.65372e+06	5.68942e+06	5.50024e+06	6.30918e+06	5.61468e+06
P61019	P61019		RAB2A		1.30234e+08	1.24668e+08	1.46288e+08	1.51419e+08	1.55943e+08	2.1403e+08	1.62453e+08	1.97399e+08
P61020	P61020		RAB5B		2.16458e+07	1.78542e+07	2.33497e+07	2.23957e+07	2.19997e+07	2.43155e+07	2.41942e+07	2.56566e+07
P61024	P61024		CKS1B		3.23649e+06	2.46305e+06	3.57571e+06	3.82191e+06	3.1053e+06	7.91367e+06	2.90931e+06	6.8784e+06
P61026	P61026		RAB10		5.04191e+08	4.33453e+08	5.12305e+08	5.39415e+08	4.38901e+08	6.68407e+08	4.48824e+08	5.39844e+08
P61073	P61073		CXCR4		2.26943e+06	697911	1.61647e+06	1.21784e+06	1.40139e+06	2.35787e+06	1.05849e+06	1.35482e+06
P61077	P61077		UBE2D3		4.0176e+07	6.988e+07	4.97304e+07	8.77888e+07	5.11567e+07	5.68042e+07	5.58067e+07	5.20334e+07
P61081	P61081		UBE2M		2.80245e+07	6.41182e+07	4.80946e+07	6.40221e+07	3.06838e+07	4.22896e+07	4.81611e+07	4.33836e+07
P61086	P61086		UBE2K		8.68222e+06	2.01715e+07	1.58179e+07	2.30322e+07	1.02734e+07	1.21799e+07	1.52026e+07	1.17494e+07
P61088	P61088		UBE2N		3.86776e+07	9.1103e+07	6.34675e+07	9.7945e+07	4.43124e+07	6.11562e+07	6.23341e+07	5.62229e+07
P61106	P61106		RAB14		3.96721e+07	4.44762e+07	4.42266e+07	4.57827e+07	3.76586e+07	6.01784e+07	4.3876e+07	5.51471e+07
P61158	P61158		ACTR3		5.47736e+07	6.02809e+07	5.26033e+07	7.07245e+07	3.97593e+07	6.5664e+07	4.86924e+07	5.54275e+07
P61160	P61160		ACTR2		4.34997e+07	4.7925e+07	4.31605e+07	5.88144e+07	3.06517e+07	5.51128e+07	3.95465e+07	4.38107e+07
P61163	P61163		ACTR1A		3.19608e+07	3.22647e+07	2.8058e+07	2.61406e+07	3.13699e+07	2.14732e+07	2.58309e+07	2.09611e+07
P61165	P61165		TMEM258		9.89709e+06	1.17148e+07	1.04383e+07	1.44881e+07	1.26557e+07	1.89069e+07	1.41306e+07	2.02479e+07
